ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
25032,RECORDATORIO COMUNIÓN  MARCAPÁGINAS DOBLE CON PEZ EN RELIEVE,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
26772,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN ""inicial flores lila""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
26867,PULSERA CON CRUZ  DE COLORES Y TARJETA PERSONALIZADA CON NIÑA DE COMUNIÓN,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
26949,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN ""barquito de papel""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
26954,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN ""pájaro""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
26976,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN CORONA ""Martina""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
27005,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN CORONA ""Sara""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
27012,RECORDATORIO BAUTIZO CUADRADO ELEFANTE O OSO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
27134,"RECORDATORIO BAUTIZO ""conejo juguete""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
27145,"RECORDATORIO COMUNIÓN CON DIBUJO DE LA COLECCIÓN ""inicial dorada""",4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
27147,RECORDATORIO BAUTIZO CUADRADO ELEFANTE CON ESTRELLAS,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
28486,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS NIÑA DOBLE CON CARTULINA VICHY,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
33135,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS DOBLE CON CARTULINA KRAFT (copia),4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
36295,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS DOBLE CON DIBUJO DE FUTBOL,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
36949,LÁMINA A4 CON NIÑA COMUNIÓN CON MARCO BLANCO,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37231,ETIQUETA REDONDA CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
37341,RECORDATORIO CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37373,RECORDATORIO MARCAPÁGINA CON DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,on,,,,,,,,,,on,on,on,off,off,off,off,,off,off
37438,LÁMINA A4 CON MARCO BLANCO Y DIBUJO NIÑO COMUNIÓN TIPO ACUARELA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
