ID,Tipo,SKU,Nombre,Publicado,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Categorías Principales,Subcategorías,Etiquetas
22937,variable,AP-10482,LIBRO DE FIRMAS DE PRIMERA COMUNIÓN CON LOMO KRAFT Y NIÑO PERSONALIZADO,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","Infantil, Personalizado, Recuerdo, Regalo"
22967,variable,AP-10485,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA CON CORONA DE FLORES,1,0,0,,,,,0,Gracias por tu compra.,,,"COMUNIÓN, COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA","COMUNIÓN, DETALLES","COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
23011,variable,AP-10487,LIBRO DE FIRMAS CON INICIAL CON FLORES (NIÑA),-1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","Infantil, Personalizado, Recuerdo, Regalo"
23313,variable,AP-10516,LÁMINA DE HUELLAS CON BAILARINA,1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ, COMUNIÓN > LÁMINAS, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","BAUTIZO - BEBÉ, COMUNIÓN","COMUNIÓN > LÁMINAS, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23326,variable,AP-10519,LÁMINA DE HUELLAS CON ELEFANTE,1,0,0,,,,,1,Gracias por tu compra.,,,"LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","LIBROS DE FIRMAS, BAUTIZO - BEBÉ","LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
23453,variable,AP-10526,LIBRO DE FIRMAS CON MARCO DE FLORES,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","Infantil, Personalizado, Recuerdo, Regalo"
23482,variable,AP-10537,LIBRO DE FIRMAS CORONA DE FLORES SILVESTRES,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","Infantil, Personalizado, Recuerdo, Regalo"
23497,variable,AP-10548,LIBRO DE FIRMAS CON CORONA  AZUL Y VERDE,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","Infantil, Personalizado, Recuerdo, Regalo"
23502,variable,AP-10555,LIBRO DE FIRMAS CON CORONA DE MIMBRE CON HOJAS,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","Infantil, Personalizado, Recuerdo, Regalo"
23708,variable,AP-10604,LIBRO DE FIRMAS BAUTIZO CON JIRAFA EN AZUL,1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
