ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
22760,RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22770,RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA CLÁSICO,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22778,RECORDATORIO COMUNIÓN CON GUIRNALDA CLÁSICA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22789,RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO CUADRADO,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22810,RECORDATORIO DE COMUNIÓN CUADRADA DOBLE CON CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22815,RECORDATORIO DE COMUNIÓN DE NIÑO CLÁSICO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22831,ETIQUETAS REDONDAS CON FESTÓN DE COMUNION (NIÑA),2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22858,ETIQUETAS REDONDAS DE COMUNIÓN CON FESTÓN Y CON GUIRNALDA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22887,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
22900,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
